Date,Open,High,Low,Close,Adj Close,Volume
2023-04-26,4494.569824,4541.250000,4487.779785,4494.569824,4494.569824,0
2023-04-27,4639.250000,4659.000000,4618.970215,4639.250000,4639.250000,0
2023-04-28,4654.750000,4675.939941,4613.520020,4654.750000,4654.750000,0
2023-05-01,4694.939941,4706.500000,4692.830078,4694.939941,4694.939941,0
2023-05-02,4706.500000,4726.830078,4692.229980,4706.500000,4706.500000,0
2023-05-03,4708.729980,4708.729980,4650.899902,4708.729980,4708.729980,0
2023-05-04,4650.000000,4652.850098,4604.319824,4650.000000,4650.000000,0
2023-05-05,4603.950195,4612.069824,4545.750000,4603.950195,4603.950195,0
2023-05-08,4525.299805,4526.399902,4464.209961,4525.299805,4525.299805,0
2023-05-09,4504.750000,4551.620117,4501.270020,4504.750000,4504.750000,0
2023-05-10,4559.250000,4568.919922,4544.060059,4559.250000,4559.250000,0
2023-05-11,4548.000000,4606.000000,4547.330078,4548.000000,4548.000000,0
2023-05-12,4594.500000,4595.799805,4557.819824,4594.500000,4594.500000,0
2023-05-15,4557.029785,4557.580078,4495.580078,4557.029785,4557.029785,0
2023-05-16,4513.250000,4547.759766,4485.950195,4513.250000,4513.250000,0
2023-05-17,4535.149902,4554.479980,4492.485840,4535.149902,4535.149902,0
2023-05-18,4515.569824,4523.339844,4451.113770,4515.569824,4515.569824,0
2023-05-19,4525.250000,4530.250000,4514.000000,4525.250000,4525.250000,0
2023-05-22,4540.250000,4540.250000,4526.990234,4540.250000,4540.250000,0
2023-05-23,4526.689941,4534.660156,4481.490234,4526.689941,4526.689941,0
